,index,Means per day,Schedule ,Beds,index_int,scenarios,Measure 
0,1.0,5.109238095238095, Baseline,30,1.0,"high_los, prop_high", Throughput
1,1.0_new_schedule,5.14895238095238, Baseline + weekends,30,1.0,"high_los, prop_high", Throughput
2,2.0,11.544444444444446, Baseline,35,2.0,"low_los, prop_low", Throughput
3,2.0_new_schedule,14.74209523809524, Baseline + weekends,35,2.0,"low_los, prop_low", Throughput
4,3.0,6.768000000000001, Baseline,40,3.0,"high_los, prop_high", Throughput
5,3.0_new_schedule,6.811238095238095, Baseline + weekends,40,3.0,"high_los, prop_high", Throughput
6,4.0,11.46984126984127, Baseline,45,4.0,"low_los, prop_low", Throughput
7,4.0_new_schedule,14.75079365079365, Baseline + weekends,45,4.0,"low_los, prop_low", Throughput
8,5.0,8.065396825396826, Baseline,50,5.0,"high_los, prop_high", Throughput
9,5.0_new_schedule,8.3624126984127, Baseline + weekends,50,5.0,"high_los, prop_high", Throughput
10,6.0,11.412698412698413, Baseline,55,6.0,"low_los, prop_low", Throughput
11,6.0_new_schedule,14.75079365079365, Baseline + weekends,55,6.0,"low_los, prop_low", Throughput
12,7.0,9.547269841269841, Baseline,60,7.0,"high_los, prop_high", Throughput
13,7.0_new_schedule,9.925079365079364, Baseline + weekends,60,7.0,"high_los, prop_high", Throughput
14,8.0,11.441269841269841, Baseline,65,8.0,"low_los, prop_low", Throughput
15,8.0_new_schedule,14.75079365079365, Baseline + weekends,65,8.0,"low_los, prop_low", Throughput
16,9.0,10.546571428571427, Baseline,70,9.0,"high_los, prop_high", Throughput
17,9.0_new_schedule,11.344190476190477, Baseline + weekends,70,9.0,"high_los, prop_high", Throughput
18,10.0,11.648507936507938, Baseline,30,10.0,"low_los, prop_low", Throughput
19,10.0_new_schedule,14.64285714285714, Baseline + weekends,30,10.0,"low_los, prop_low", Throughput
20,11.0,6.023968253968254, Baseline,35,11.0,"high_los, prop_high", Throughput
21,11.0_new_schedule,5.999238095238096, Baseline + weekends,35,11.0,"high_los, prop_high", Throughput
22,12.0,11.60793650793651, Baseline,40,12.0,"low_los, prop_low", Throughput
23,12.0_new_schedule,14.75079365079365, Baseline + weekends,40,12.0,"low_los, prop_low", Throughput
24,13.0,7.502952380952381, Baseline,45,13.0,"high_los, prop_high", Throughput
25,13.0_new_schedule,7.6220317460317455, Baseline + weekends,45,13.0,"high_los, prop_high", Throughput
26,14.0,11.466666666666667, Baseline,50,14.0,"low_los, prop_low", Throughput
27,14.0_new_schedule,14.75079365079365, Baseline + weekends,50,14.0,"low_los, prop_low", Throughput
28,15.0,8.774857142857144, Baseline,55,15.0,"high_los, prop_high", Throughput
29,15.0_new_schedule,9.21974603174603, Baseline + weekends,55,15.0,"high_los, prop_high", Throughput
30,16.0,11.38888888888889, Baseline,60,16.0,"low_los, prop_low", Throughput
31,16.0_new_schedule,14.75079365079365, Baseline + weekends,60,16.0,"low_los, prop_low", Throughput
32,17.0,10.131079365079367, Baseline,65,17.0,"high_los, prop_high", Throughput
33,17.0_new_schedule,10.699904761904762, Baseline + weekends,65,17.0,"high_los, prop_high", Throughput
34,18.0,11.34920634920635, Baseline,70,18.0,"low_los, prop_low", Throughput
35,18.0_new_schedule,14.75079365079365, Baseline + weekends,70,18.0,"low_los, prop_low", Throughput
36,19.0,5.719777777777779, Baseline,30,19.0,"high_los, prop_low", Throughput
37,19.0_new_schedule,5.877746031746033, Baseline + weekends,30,19.0,"high_los, prop_low", Throughput
38,20.0,11.171714285714286, Baseline,35,20.0,"low_los, prop_high", Throughput
39,20.0_new_schedule,13.153142857142857, Baseline + weekends,35,20.0,"low_los, prop_high", Throughput
40,21.0,7.42647619047619, Baseline,40,21.0,"high_los, prop_low", Throughput
41,21.0_new_schedule,7.686571428571429, Baseline + weekends,40,21.0,"high_los, prop_low", Throughput
42,22.0,11.221650793650793, Baseline,45,22.0,"low_los, prop_high", Throughput
43,22.0_new_schedule,14.62447619047619, Baseline + weekends,45,22.0,"low_los, prop_high", Throughput
44,23.0,9.108761904761904, Baseline,50,23.0,"high_los, prop_low", Throughput
45,23.0_new_schedule,9.477142857142857, Baseline + weekends,50,23.0,"high_los, prop_low", Throughput
46,24.0,11.315873015873015, Baseline,55,24.0,"low_los, prop_high", Throughput
47,24.0_new_schedule,14.749301587301588, Baseline + weekends,55,24.0,"low_los, prop_high", Throughput
48,25.0,10.110126984126984, Baseline,60,25.0,"high_los, prop_low", Throughput
49,25.0_new_schedule,11.122285714285713, Baseline + weekends,60,25.0,"high_los, prop_low", Throughput
50,26.0,11.4015873015873, Baseline,65,26.0,"low_los, prop_high", Throughput
51,26.0_new_schedule,14.75079365079365, Baseline + weekends,65,26.0,"low_los, prop_high", Throughput
52,27.0,11.110285714285714, Baseline,70,27.0,"high_los, prop_low", Throughput
53,27.0_new_schedule,12.617873015873016, Baseline + weekends,70,27.0,"high_los, prop_low", Throughput
54,28.0,10.64593650793651, Baseline,30,28.0,"low_los, prop_high", Throughput
55,28.0_new_schedule,11.793142857142858, Baseline + weekends,30,28.0,"low_los, prop_high", Throughput
56,29.0,6.695746031746032, Baseline,35,29.0,"high_los, prop_low", Throughput
57,29.0_new_schedule,6.832666666666666, Baseline + weekends,35,29.0,"high_los, prop_low", Throughput
