,Day,weekday,DayLostSlots
0,0,0,0.0
1,1,1,0.0
2,2,2,0.0
3,3,3,0.74
4,4,4,3.3
5,5,5,0.0
6,6,6,0.0
7,7,0,0.0
8,8,1,0.19
9,9,2,2.21
10,10,3,2.82
11,11,4,3.19
12,12,5,0.0
13,13,6,0.0
14,14,0,0.0
15,15,1,0.28
16,16,2,1.62
17,17,3,1.6
18,18,4,2.87
19,19,5,0.0
20,20,6,0.0
21,21,0,0.0
22,22,1,0.19
23,23,2,1.52
24,24,3,3.18
25,25,4,2.55
26,26,5,0.0
27,27,6,0.0
28,28,0,0.0
29,29,1,0.49
30,30,2,2.75
31,31,3,2.61
32,32,4,2.95
33,33,5,0.0
34,34,6,0.0
35,35,0,0.0
36,36,1,0.38
37,37,2,1.47
38,38,3,2.38
39,39,4,2.68
40,40,5,0.0
41,41,6,0.0
42,42,0,0.0
43,43,1,0.15
44,44,2,2.24
45,45,3,3.76
46,46,4,2.48
47,47,5,0.0
48,48,6,0.0
49,49,0,0.0
50,50,1,0.2
51,51,2,1.25
52,52,3,2.41
53,53,4,2.63
54,54,5,0.0
55,55,6,0.0
56,56,0,0.0
57,57,1,0.77
58,58,2,1.96
59,59,3,2.22
60,60,4,1.35
61,61,5,0.0
62,62,6,0.0
63,63,0,0.0
64,64,1,0.27
65,65,2,2.34
66,66,3,2.61
67,67,4,3.48
68,68,5,0.0
69,69,6,0.0
70,70,0,0.0
71,71,1,0.1
72,72,2,1.4
73,73,3,3.02
74,74,4,2.49
75,75,5,0.0
76,76,6,0.0
77,77,0,0.0
78,78,1,0.56
79,79,2,3.43
80,80,3,3.59
81,81,4,2.84
82,82,5,0.0
83,83,6,0.0
84,84,0,0.0
85,85,1,0.04
86,86,2,1.78
87,87,3,3.54
88,88,4,2.51
89,89,5,0.0
90,90,6,0.0
91,91,0,0.0
92,92,1,0.13
93,93,2,2.32
94,94,3,1.99
95,95,4,2.29
96,96,5,0.0
97,97,6,0.0
98,98,0,0.0
99,99,1,0.51
100,100,2,2.4
101,101,3,2.25
102,102,4,2.26
