,Day,DayLostSlots
0,0,0.0
1,1,0.0
2,2,7.3875
3,3,12.5875
4,4,11.1125
5,5,0.0
6,6,0.0
7,7,0.3125
8,8,10.4625
9,9,14.025
10,10,11.525
11,11,10.1
12,12,0.0
13,13,0.0
14,14,2.1375
15,15,12.425
16,16,13.175
17,17,12.325
18,18,10.375
19,19,0.0
20,20,0.0
21,21,0.9375
22,22,11.975
23,23,12.7
24,24,10.7
25,25,11.0125
26,26,0.0
27,27,0.0
28,28,5.3125
29,29,14.1125
30,30,12.1375
31,31,11.2
32,32,8.875
33,33,0.0
34,34,0.0
35,35,2.525
36,36,14.125
37,37,10.9875
38,38,12.25
39,39,8.2375
40,40,0.0
41,41,0.0
42,42,1.875
43,43,14.55
44,44,10.55
45,45,12.7125
46,46,9.175
47,47,0.0
48,48,0.0
49,49,3.75
50,50,14.975
51,51,12.45
52,52,12.425
53,53,9.0875
54,54,0.0
55,55,0.0
56,56,5.15
57,57,9.9125
58,58,10.975
59,59,9.8625
60,60,11.975
61,61,0.0
62,62,0.0
63,63,1.3
64,64,12.25
65,65,13.3625
66,66,12.1875
67,67,13.4
68,68,0.0
69,69,0.0
70,70,0.75
71,71,8.6375
72,72,12.175
73,73,13.2
74,74,9.75
75,75,0.0
76,76,0.0
77,77,2.225
78,78,11.325
79,79,9.9125
80,80,11.3375
81,81,10.3375
82,82,0.0
83,83,0.0
84,84,2.575
85,85,11.5625
86,86,10.0125
87,87,10.25
88,88,7.825
89,89,0.0
90,90,0.0
91,91,1.9125
92,92,10.375
93,93,13.725
94,94,14.625
95,95,10.625
96,96,0.0
97,97,0.0
98,98,2.2375
99,99,15.5625
100,100,10.4125
101,101,10.7875
102,102,12.3125
103,103,0.0
104,104,0.0
105,105,4.475
106,106,11.125
107,107,11.325
108,108,10.2875
109,109,10.6125
110,110,0.0
111,111,0.0
112,112,2.8125
113,113,13.675
114,114,11.9875
115,115,9.675
116,116,9.2
117,117,0.0
118,118,0.0
119,119,3.65
120,120,14.175
121,121,11.0
122,122,11.7125
123,123,13.275
124,124,0.0
125,125,0.0
126,126,0.7875
127,127,10.275
128,128,14.4875
129,129,13.3875
130,130,14.0875
131,131,0.0
132,132,0.0
133,133,2.875
134,134,10.5625
135,135,12.0625
136,136,9.55
137,137,10.9875
138,138,0.0
139,139,0.0
140,140,2.425
141,141,10.6125
142,142,8.925
143,143,11.425
144,144,11.95
145,145,0.0
146,146,0.0
147,147,0.7625
148,148,8.7625
149,149,11.7375
150,150,10.3625
151,151,13.9125
152,152,0.0
153,153,0.0
154,154,3.3125
155,155,14.05
156,156,9.5125
157,157,10.85
158,158,9.775
159,159,0.0
160,160,0.0
161,161,0.675
162,162,11.25
163,163,10.8
164,164,11.1875
165,165,13.9625
166,166,0.0
167,167,0.0
168,168,2.4375
169,169,9.4875
