,Day,weekday,DayLostSlots
0,0,0,0.0
1,1,1,0.0
2,2,2,0.2375
3,3,3,2.475
4,4,4,2.3625
5,5,0,0.0
6,6,0,0.0
7,7,0,0.0
8,8,1,0.5875
9,9,2,2.9
10,10,3,2.975
11,11,4,2.2
12,12,0,0.0
13,13,0,0.0
14,14,0,0.0375
15,15,1,1.4125
16,16,2,1.8875
17,17,3,3.0
18,18,4,2.225
19,19,0,0.0
20,20,0,0.0
21,21,0,0.0
22,22,1,0.6625
23,23,2,2.6375
24,24,3,2.7875
25,25,4,2.2
26,26,0,0.0
27,27,0,0.0
28,28,0,0.025
29,29,1,1.45
30,30,2,2.7875
31,31,3,2.8875
32,32,4,1.825
33,33,0,0.0
34,34,0,0.0
35,35,0,0.0
36,36,1,1.8625
37,37,2,2.875
38,38,3,2.4625
39,39,4,2.375
