,sim_time,weekday,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
0,2,1,0.8,12,4,0.0,0.0,5.76,16.5,1
1,3,2,0.95,12,4,0.0112191254561206,0.0544308593997532,7.2,10.5,1
2,4,3,0.875,14,3,0.03136524013213067,0.07235303588251076,5.86,8.25,1
3,5,4,0.925,14,3,0.04196940432594635,0.0760501146368144,5.09,6.79,1
4,6,5,0.775,0,0,0.04196940432594635,0.0760501146368144,5.09,6.79,1
5,7,6,0.575,0,0,0.04196940432594635,0.0760501146368144,5.09,6.79,1
6,8,0,0.725,10,5,0.03644711428305867,0.05876599767390203,5.43,8.7,1
7,9,1,0.975,16,2,0.03586964131028891,0.06326557661998239,5.32,7.97,1
8,10,2,0.9,16,2,0.045965644000048475,0.06366795044031676,4.59,7.36,1
9,11,3,0.875,12,4,0.04945052530210082,0.07239836062063791,4.41,6.38,1
10,12,4,0.775,10,5,0.048544953506156126,0.07506144602474908,4.56,5.47,1
11,13,5,0.65,0,0,0.048544953506156126,0.07506144602474908,4.56,5.47,1
12,14,6,0.625,0,0,0.048544953506156126,0.07506144602474908,4.56,5.47,1
13,15,0,0.925,12,4,0.04444256306901617,0.06944548114511045,4.68,5.5,1
14,16,1,0.9,14,3,0.04830429991041594,0.07615659783013255,4.6,5.11,1
15,17,2,0.9,14,3,0.053382295469099623,0.0833572690218188,4.41,4.77,1
16,18,3,0.975,14,3,0.05393534508445919,0.08050698953600509,4.25,4.47,1
17,19,4,0.9,10,5,0.05844199981184189,0.0895363294382534,4.12,4.05,1
18,20,5,0.8,0,0,0.05844199981184189,0.0895363294382534,4.12,4.05,1
19,21,6,0.725,0,0,0.05844199981184189,0.0895363294382534,4.12,4.05,1
20,22,0,0.9,6,7,0.056688739817486636,0.08379810005763039,4.18,5.86,1
21,23,1,0.925,14,3,0.05824922426009382,0.08467758668127717,4.15,5.58,1
22,24,2,0.925,12,4,0.059611801833206,0.08766218059623235,3.99,5.25,1
23,25,3,0.95,8,6,0.06015024940778192,0.08753200294155479,3.91,4.82,1
24,26,4,0.9,10,5,0.06196886702843933,0.09306885161003879,3.85,4.51,1
25,27,5,0.85,0,0,0.06196886702843933,0.09306885161003879,3.85,4.51,1
26,28,6,0.675,0,0,0.06196886702843933,0.09306885161003879,3.85,4.51,1
27,29,0,0.925,16,2,0.05986513961467143,0.09354085899993576,3.97,4.39,1
28,30,1,0.925,16,2,0.06318402944688878,0.09212373426073453,3.87,4.29,1
29,31,2,0.85,12,4,0.06498414017875456,0.09132716351492741,3.78,4.09,1
30,32,3,0.925,12,4,0.06352754985071656,0.09170691339927003,3.76,3.91,1
31,33,4,0.925,8,6,0.06363001674606945,0.09347622398529254,3.75,3.78,1
32,34,5,0.825,0,0,0.06363001674606945,0.09347622398529254,3.75,3.78,1
33,35,6,0.725,0,0,0.06363001674606945,0.09347622398529254,3.75,3.78,1
34,36,0,0.9,12,4,0.061551283533298175,0.09497625204361146,3.9,3.71,1
35,37,1,0.925,16,2,0.0622431357702395,0.09481683813643307,3.79,3.63,1
